0,0,45.064759946,6.0397199756,0,0
327,339,45.071890012,6.0392299695,0.83333,0
596,649,45.066429956,6.042219962,1.52069,0
673,733,45.067989996,6.042049977,1.71693,0
779,854,45.06593995,6.0432599886,1.98598,0
916,1016,45.068900019,6.0428199386,2.33599,0
1006,1116,45.067169995,6.0438799979,2.56525,0
1092,1197,45.068929943,6.0449899296,2.78508,0
1262,1366,45.071970003,6.0480765933,3.21712,0
1401,1492,45.070940007,6.0442699241,3.5716,0
1577,1663,45.073556477,6.0480089905,4.02036,0
1700,1789,45.072484959,6.0512899775,4.33295,0
1883,1970,45.074826668,6.0475932928,4.79996,0
2076,2160,45.073219969,6.0521099372,5.29262,0
2311,2381,45.076629978,6.0473099565,5.89138,0
2521,2600,45.074780008,6.0524399327,6.4255,0
2759,2853,45.077869997,6.0477999626,7.03222,0
2959,3059,45.077069944,6.0534099704,7.54274,0
3143,3252,45.080820008,6.0553159649,8.01027,0
3303,3386,45.08127423,6.0593976947,8.41898,0
3407,3533,45.082319949,6.0622899263,8.68457,0
3612,3718,45.083699988,6.0575299273,9.20638,0
3788,3912,45.083580001,6.0626399545,9.65366,0
3990,4131,45.086649132,6.0587308025,10.1692,0
4121,4275,45.088164986,6.0558399679,10.5034,0
4292,4457,45.088700003,6.0604699636,10.9386,0
4503,4699,45.091439963,6.0553599363,11.4769,0
4696,4898,45.091279785,6.0613405081,11.9678,0
4839,5029,45.090730016,6.0655199765,12.3333,0
5009,5180,45.092800011,6.0612299508,12.7666,0
5214,5340,45.09336998,6.0675599641,13.2874,0
5374,5395,45.092600018,6.0721399198,13.6969,0
5474,5478,45.094651992,6.0708042635,13.9507,0
